,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Kanniyakumari,IN,8.0833,77.5667,79.38,74,97,17.67,overcast clouds
348,Clarence Town,AU,-32.5833,151.7833,65.86,81,51,2.35,broken clouds
349,Braintree,GB,51.8782,0.5529,47.35,94,100,25.23,light rain
350,Bathsheba,BB,13.2167,-59.5167,83.01,57,40,26.46,scattered clouds
351,Kiruna,SE,67.8557,20.2251,0.52,85,100,0.0,overcast clouds
352,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,75,20,26.46,few clouds
353,Ust-Ordynskiy,RU,52.805,104.7508,-13.16,98,20,6.06,few clouds
354,Zhoucheng,CN,35.9122,116.3117,45.01,65,100,5.44,overcast clouds
355,Verkhoturye,RU,58.8627,60.8054,15.33,97,99,3.83,light snow
356,Vieira De Leiria,PT,39.8695,-8.9324,56.68,96,75,11.5,broken clouds
357,Yola,NG,9.2,12.4833,91.15,10,66,4.41,broken clouds
358,Saint-Georges,GD,12.0564,-61.7485,83.88,65,40,23.02,scattered clouds
359,Nikolsk,RU,53.7189,46.0712,27.1,95,99,13.76,overcast clouds
360,Zunyi,CN,27.6867,106.9072,37.81,89,36,2.01,scattered clouds
361,At-Bashi,KG,41.1702,75.8106,8.04,76,43,4.0,scattered clouds
362,Kununurra,AU,-15.7667,128.7333,80.58,78,73,3.44,broken clouds
363,Guangyuan,CN,32.442,105.823,42.46,85,78,2.8,broken clouds
364,Onega,RU,63.9061,38.1404,13.35,92,83,9.84,broken clouds
365,Burgeo,CA,47.6167,-57.6152,30.67,66,99,20.15,overcast clouds
366,Alto Araguaia,BR,-17.3147,-53.2153,82.24,65,86,4.29,overcast clouds
367,Kuloy,RU,61.0305,42.4925,8.06,98,29,4.5,scattered clouds
368,Mecca,SA,21.4267,39.8261,78.19,36,0,4.94,clear sky
369,Faridkot,IN,30.6667,74.75,52.39,77,5,5.68,clear sky
370,Benghazi,LY,32.1167,20.0667,58.48,63,3,5.77,clear sky
371,Santo Antonio Do Ica,BR,-3.1022,-67.9397,73.42,98,100,1.81,overcast clouds
372,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,70,40,4.61,scattered clouds
373,Jieshi,CN,22.8134,115.8257,57.94,82,100,8.7,moderate rain
374,Kasane,BW,-17.8167,25.15,72.68,73,3,4.83,clear sky
375,Tuatapere,NZ,-46.1333,167.6833,43.83,94,13,4.36,few clouds
376,Micheweni,TZ,-4.9667,39.8333,79.79,77,100,11.41,overcast clouds
377,Cabo San Lucas,MX,22.8909,-109.9124,77.61,44,100,3.44,overcast clouds
378,Maridi,SS,4.9158,29.4742,86.5,24,87,4.9,overcast clouds
379,San Patricio,US,28.017,-97.5169,53.19,24,0,8.25,clear sky
380,San Rafael,AR,-34.6177,-68.3301,83.71,16,0,11.32,clear sky
381,Ouegoa,NC,-20.35,164.4333,79.39,81,100,8.97,overcast clouds
382,Phetchaburi,TH,12.9667,99.5833,82.29,85,53,2.77,broken clouds
383,Kenai,US,60.5544,-151.2583,28.15,94,100,5.75,overcast clouds
384,Fortuna,US,40.5982,-124.1573,45.52,87,0,4.61,clear sky
385,Hannibal,US,39.7084,-91.3585,27.52,59,75,11.5,broken clouds
386,Otofuke,JP,42.9917,143.2003,7.5,95,64,2.62,broken clouds
387,Batemans Bay,AU,-35.7167,150.1833,67.1,85,100,5.01,overcast clouds
388,Daru,PG,-9.0763,143.2092,79.45,77,18,10.0,few clouds
389,Pont-Saint-Esprit,FR,44.2549,4.6474,55.09,74,85,13.0,overcast clouds
390,Yumen,CN,40.2833,97.2,27.61,43,100,9.53,overcast clouds
391,Santana,BR,-0.0583,-51.1817,89.78,66,40,10.36,scattered clouds
392,Sorong,ID,-0.8833,131.25,78.58,82,100,3.67,overcast clouds
393,Saint-Augustin,CA,51.226,-58.6502,3.38,73,10,16.28,clear sky
394,Calamar,CO,10.2511,-74.9146,87.75,32,31,8.52,scattered clouds
395,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-25.46,100,95,4.0,overcast clouds
396,Upington,ZA,-28.4478,21.2561,89.98,23,20,12.66,few clouds
397,Rio Cuarto,AR,-33.1307,-64.3499,78.67,40,0,13.8,clear sky
398,Miles City,US,46.4083,-105.8406,38.52,59,20,8.05,few clouds
399,Shimoda,JP,34.6667,138.95,37.11,93,100,22.17,moderate rain
400,Magnolia,US,33.2671,-93.2393,38.88,26,1,6.67,clear sky
401,Saint George,US,37.1041,-113.5841,54.54,32,0,0.0,clear sky
402,Mossendjo,CG,-2.9506,12.7261,74.62,93,100,2.93,light rain
403,Mackay,AU,-21.15,149.2,75.69,83,75,23.02,broken clouds
404,Watsa,CD,3.0372,29.5355,83.91,26,91,2.51,overcast clouds
405,Nanae,JP,41.8833,140.6833,24.51,92,43,3.78,scattered clouds
406,Flinders,AU,-34.5833,150.8552,66.38,79,86,5.01,overcast clouds
407,Bima,ID,-8.4667,118.7167,76.24,92,88,0.87,overcast clouds
408,Southbridge,US,42.0751,-72.0334,32.22,81,100,10.0,overcast clouds
409,Deputatskiy,RU,69.3,139.9,-16.74,94,100,6.49,overcast clouds
410,Formosa Do Rio Preto,BR,-11.0483,-45.1931,82.27,73,84,1.83,broken clouds
411,Abu Dhabi,AE,24.4667,54.3667,66.22,46,20,5.75,few clouds
412,Jijiga,ET,9.35,42.8,65.98,57,98,15.59,overcast clouds
413,San Jose,US,37.3394,-121.895,62.56,53,20,1.01,few clouds
414,Osakarovka,KZ,50.565,72.5692,21.42,97,100,7.07,overcast clouds
415,Celestun,MX,20.8667,-90.4,74.93,70,69,17.58,broken clouds
416,Skegness,GB,53.1436,0.3363,47.08,90,100,29.84,light rain
417,Ponnampet,IN,12.15,75.9333,64.6,91,41,2.26,scattered clouds
418,Teahupoo,PF,-17.8333,-149.2667,71.56,77,98,17.58,light rain
419,Lebanon,US,36.2081,-86.2911,32.18,59,0,0.0,clear sky
420,Crotone,IT,39.0851,17.1178,55.49,71,20,6.91,few clouds
421,Ambulu,ID,-8.345,113.6058,75.45,92,99,2.33,overcast clouds
422,Hamilton,US,39.1834,-84.5333,25.57,62,20,8.05,few clouds
423,Acapulco,MX,16.8634,-99.8901,84.02,51,0,4.61,clear sky
424,Grand-Lahou,CI,5.1367,-5.0242,82.72,71,33,9.66,light rain
425,Bandrele,YT,-12.9067,45.1914,78.55,89,75,1.14,broken clouds
426,Elat,IL,29.5581,34.9482,67.84,42,0,6.91,clear sky
427,Katherine,AU,-14.4667,132.2667,79.12,83,40,0.0,scattered clouds
428,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,17.98,95,100,10.8,light snow
429,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,66,99,6.22,overcast clouds
430,Valle Hermoso,MX,25.6667,-97.8333,53.92,30,31,12.15,scattered clouds
431,Zhigansk,RU,66.7697,123.3711,-34.38,100,98,2.89,overcast clouds
432,Nerl,RU,56.6628,40.3893,28.53,95,95,7.65,light snow
433,Ville-Marie,CA,47.3335,-79.433,-20.2,81,100,3.24,overcast clouds
434,Maniitsoq,GL,65.4167,-52.9,6.94,94,100,20.89,snow
435,Ko Samui,TH,9.5357,99.9357,82.54,75,33,11.79,scattered clouds
436,Mayo,US,38.8876,-76.5119,36.34,86,100,8.99,snow
437,Sabha,LY,27.0377,14.4283,61.0,21,72,9.55,broken clouds
438,Ostrovnoy,RU,68.0531,39.5131,11.86,79,36,13.31,scattered clouds
439,Sankt Wendel,DE,49.4667,7.1667,51.28,62,97,7.54,overcast clouds
440,Chegdomyn,RU,51.1167,133.0167,1.62,97,100,1.54,overcast clouds
441,Isangel,VU,-19.55,169.2667,78.42,89,86,5.88,overcast clouds
442,Belyy Gorodok,RU,56.965,37.5125,30.97,92,100,8.95,overcast clouds
443,Stornoway,GB,58.2093,-6.3865,44.92,88,20,3.44,few clouds
444,Staryy Oskol,RU,51.2967,37.8417,19.92,90,6,7.25,clear sky
445,Whitecourt,CA,54.1502,-115.6855,33.04,64,40,9.22,scattered clouds
446,Zihuatanejo,MX,17.6333,-101.55,80.69,74,20,5.75,few clouds
447,Swedru,GH,5.5371,-0.6998,85.91,59,46,12.97,light rain
448,Pozo Colorado,PY,-23.4923,-58.7972,97.32,27,69,5.28,broken clouds
449,Gigmoto,PH,13.7796,124.39,76.28,85,86,10.51,overcast clouds
450,Poso,ID,-1.3959,120.7524,75.85,87,100,4.43,moderate rain
451,Vicksburg,US,32.3526,-90.8779,43.56,45,0,9.22,clear sky
452,Troitskoye,RU,52.9821,84.6757,14.32,84,100,6.26,overcast clouds
453,Bonavista,CA,48.6499,-53.1147,41.0,71,100,16.44,overcast clouds
454,Maarianhamina,AX,60.0973,19.9348,37.26,81,100,17.27,overcast clouds
455,Ous,RU,60.9058,61.5186,3.49,98,99,3.74,overcast clouds
456,Chopda,IN,21.25,75.3,74.66,30,0,4.59,clear sky
457,Ust-Kuyga,RU,70.0167,135.6,-11.79,92,100,6.64,overcast clouds
458,Katobu,ID,-4.9408,122.5276,74.41,96,99,4.76,overcast clouds
459,Columbus,US,39.9612,-82.9988,24.48,66,100,9.22,overcast clouds
460,Yuancheng,CN,36.652,107.7896,21.76,77,21,2.84,few clouds
461,Kamaishi,JP,39.2667,141.8833,33.89,67,100,3.85,overcast clouds
462,Waingapu,ID,-9.6567,120.2641,78.03,87,96,2.82,overcast clouds
463,Terrace,CA,54.5163,-128.6035,31.91,100,100,3.44,fog
464,Dawlatabad,AF,36.4141,64.9053,43.77,56,18,3.04,few clouds
465,Nara,JP,34.6851,135.8049,40.28,85,100,4.76,light rain
466,Porbandar,IN,21.6422,69.6093,70.25,54,0,11.1,clear sky
467,Djambala,CG,-2.5447,14.7533,72.52,83,95,4.12,light rain
468,Bandarbeyla,SO,9.4942,50.8122,76.14,63,39,18.72,scattered clouds
469,Trelew,AR,-43.249,-65.3051,93.67,12,10,18.03,clear sky
470,Snasa,NO,64.2457,12.3778,34.39,97,100,8.23,overcast clouds
471,Bontang,ID,0.1333,117.5,79.2,79,99,6.13,overcast clouds
472,Parnu,EE,58.3859,24.4971,35.01,85,100,20.92,overcast clouds
473,Sibolga,ID,1.7427,98.7792,75.97,89,83,2.91,broken clouds
474,Kenora,CA,49.8167,-94.4337,-13.23,69,75,9.22,broken clouds
475,Souris,CA,49.6172,-100.2612,8.74,93,100,15.21,light snow
476,Mendota,US,36.7536,-120.3816,53.98,46,9,3.51,clear sky
477,Aksu,CN,41.1231,80.2644,30.47,39,10,4.38,clear sky
478,Pitimbu,BR,-7.4706,-34.8086,88.39,65,2,10.87,clear sky
479,Manado,ID,1.487,124.8455,75.97,94,40,1.14,scattered clouds
480,Namanyere,TZ,-7.5167,31.05,61.79,94,84,1.39,light rain
481,Linjiang,CN,41.8069,126.9078,17.04,91,100,2.04,overcast clouds
482,Umm Kaddadah,SD,13.6017,26.6876,72.77,12,7,12.77,clear sky
483,Ahuimanu,US,21.4447,-157.8378,73.11,81,20,12.66,few clouds
484,Aksay,RU,47.26,39.87,32.25,55,0,3.0,clear sky
485,Dumas,US,35.8656,-101.9732,47.1,42,0,4.61,clear sky
486,Nancha,CN,47.1333,129.2667,-7.65,100,69,1.86,broken clouds
487,Ranong,TH,9.9658,98.6348,76.75,87,64,3.89,broken clouds
488,Okhtyrka,UA,50.3104,34.8988,25.34,93,6,5.7,clear sky
489,Kon Tum,VN,14.35,108.0,67.01,97,37,2.98,scattered clouds
490,Parintins,BR,-2.6283,-56.7358,82.72,76,87,3.8,overcast clouds
491,Fort Saint James,CA,54.4333,-124.25,28.51,94,100,0.27,overcast clouds
492,Roald,NO,62.5833,6.1333,44.17,87,75,8.05,broken clouds
493,Mnogovershinnyy,RU,53.9353,139.9242,-10.7,94,94,2.51,overcast clouds
494,Walvis Bay,NA,-22.9575,14.5053,77.09,74,12,11.45,few clouds
495,Simao,CN,22.7886,100.9748,49.55,47,2,2.08,clear sky
496,Kelo,TD,9.3086,15.8066,88.95,10,21,5.1,few clouds
497,Gorontalo,ID,0.5412,123.0595,73.49,95,99,2.01,overcast clouds
498,Esso,RU,55.9333,158.7,5.16,97,100,2.71,overcast clouds
499,Maku,IR,39.2911,44.4521,36.21,55,0,0.0,clear sky
500,Lambari,BR,-21.9756,-45.3503,74.01,80,82,5.75,broken clouds
501,Sidi Bin Nur,TN,35.5333,10.9167,58.91,73,94,8.32,overcast clouds
502,Ketchikan,US,55.3422,-131.6461,39.18,100,100,0.0,light rain
503,Lagunas,PE,-5.2269,-75.6753,85.73,62,97,3.62,overcast clouds
504,Te Anau,NZ,-45.4167,167.7167,42.49,95,23,1.63,few clouds
505,Jishou,CN,28.3167,109.7167,44.73,77,100,1.79,overcast clouds
506,Bengkulu,ID,-3.8004,102.2655,77.18,87,100,4.03,overcast clouds
507,Nanga Eboko,CM,4.6833,12.3667,84.92,20,87,1.48,overcast clouds
508,Altay,CN,47.8667,88.1167,2.41,74,46,7.96,scattered clouds
509,Hvide Sande,DK,56.0045,8.1294,39.49,83,100,26.91,overcast clouds
510,Sur,OM,22.5667,59.5289,73.11,67,0,2.8,clear sky
511,Palmas,BR,-10.2128,-48.3603,82.27,74,40,8.05,scattered clouds
512,Labrea,BR,-7.2586,-64.7981,84.02,79,92,2.77,light rain
513,Chaupal,IN,30.95,77.5833,34.97,74,0,2.95,clear sky
514,Santa Cruz De La Palma,ES,28.6835,-17.7642,70.14,60,20,9.22,few clouds
515,Alofi,NU,-19.0595,-169.9187,73.29,94,100,3.44,overcast clouds
516,Huilong,CN,31.8111,121.655,45.03,81,100,8.23,overcast clouds
517,Gravelbourg,CA,49.8834,-106.5512,34.07,78,38,17.49,scattered clouds
518,Pedregulho,BR,-20.2569,-47.4767,74.73,75,80,5.93,broken clouds
519,Yanam,IN,16.7333,82.2167,70.39,74,3,3.94,clear sky
520,Akcaabat,TR,41.0212,39.5715,46.27,87,75,3.44,broken clouds
521,Xuchang,CN,34.0167,113.8167,41.88,81,98,6.62,overcast clouds
522,Nantucket,US,41.2835,-70.0995,36.14,84,100,15.57,overcast clouds
523,Khartoum,SD,15.5518,32.5324,84.02,14,55,1.01,broken clouds
524,Quatre Cocos,MU,-20.2078,57.7625,81.09,84,100,12.46,overcast clouds
525,Yarmouth,US,41.7057,-70.2286,35.71,86,100,9.22,overcast clouds
526,San Carlos De Bariloche,AR,-41.1456,-71.3082,80.24,16,0,8.05,clear sky
527,Raudeberg,NO,61.9875,5.1352,41.67,93,100,5.99,light rain
528,Taltal,CL,-25.4,-70.4833,72.39,67,0,8.9,clear sky
529,Matata,NZ,-37.8833,176.75,58.84,79,26,6.42,scattered clouds
530,Teterow,DE,53.7833,12.5667,41.86,68,96,10.47,overcast clouds
531,Ratnagiri,IN,16.9833,73.3,74.12,64,2,8.08,clear sky
532,Numata,JP,36.6333,139.05,34.12,86,100,6.22,snow
533,Ust-Kulom,RU,61.6864,53.6902,5.56,100,94,1.79,overcast clouds
534,Matara,LK,5.9485,80.5353,74.03,90,100,11.68,overcast clouds
535,Marang,MY,5.2056,103.2059,80.51,89,65,2.98,broken clouds
536,Henties Bay,NA,-22.116,14.2845,76.86,78,13,7.45,few clouds
537,Andenes,NO,69.3143,16.1194,30.18,86,75,21.85,broken clouds
538,Tsukumi,JP,33.0706,131.8572,44.29,88,100,15.08,light rain
539,Kiunga,PG,-6.1219,141.2906,73.38,93,92,3.02,overcast clouds
540,Phan Thiet,VN,10.9333,108.1,75.81,84,68,7.14,broken clouds
541,Karlshamn,SE,56.1706,14.8619,38.52,74,100,13.62,overcast clouds
542,Adrar,MR,20.5022,-10.0711,76.42,12,33,12.53,scattered clouds
543,Jacmel,HT,18.2342,-72.5347,87.64,54,0,7.56,clear sky
544,Caravelas,BR,-17.7125,-39.2481,83.3,66,96,10.6,heavy intensity rain
545,Iberia,US,29.9502,-91.7507,45.05,39,0,14.97,clear sky
546,Kavaratti,IN,10.5669,72.642,81.27,68,5,5.17,clear sky
547,Erenhot,CN,43.6475,111.9767,-4.92,90,11,6.11,few clouds
548,Kathu,TH,7.9178,98.3332,86.7,75,69,5.75,broken clouds
549,Hirara,JP,24.8,125.2833,67.24,87,100,27.29,overcast clouds
550,Makakilo City,US,21.3469,-158.0858,71.92,84,0,5.75,clear sky
551,Sikonge,TZ,-5.6333,32.7667,67.32,89,57,2.86,moderate rain
552,Christiana,ZA,-27.914,25.1611,78.58,31,1,4.76,clear sky
553,Hudson,US,40.7168,-74.0663,35.04,89,100,10.36,mist
554,Grass Valley,US,39.2191,-121.0611,65.84,36,0,1.99,clear sky
555,Sayat,TM,38.7839,63.8803,40.87,41,5,3.89,clear sky
556,Pangoa,PE,-12.1167,-73.0,76.59,81,81,3.4,broken clouds
557,Orlik,RU,52.5178,99.825,-14.33,98,100,1.57,overcast clouds
558,Ceyhan,TR,37.0247,35.8175,55.74,80,91,1.54,overcast clouds
559,Bekhtery,UA,46.251,32.2927,33.01,57,9,6.49,clear sky
560,Ayna,PE,-12.65,-73.9167,73.9,87,100,2.51,overcast clouds
561,Seoul,KR,37.5683,126.9778,35.04,75,0,5.75,clear sky
562,Tutoia,BR,-2.7619,-42.2744,87.78,62,22,13.29,few clouds
563,Amalapuram,IN,16.5833,82.0167,69.76,76,3,3.49,clear sky
564,Tual,ID,-5.6667,132.75,80.65,77,76,7.4,broken clouds
565,The Valley,AI,18.217,-63.0578,81.82,83,75,14.97,broken clouds
566,Barabai,ID,-2.5833,115.3833,75.78,87,99,0.89,overcast clouds
567,Rapid Valley,US,44.0625,-103.1463,47.03,51,27,7.0,scattered clouds
568,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,64,20,9.22,few clouds
569,Dongsheng,CN,39.8161,109.9776,9.34,61,20,5.39,few clouds
570,Lompoc,US,34.6391,-120.4579,70.57,44,0,10.36,clear sky
571,Suibara,JP,37.8333,139.2333,33.87,83,100,2.8,overcast clouds
572,Padang,ID,-0.9492,100.3543,77.77,83,99,3.69,overcast clouds
573,Kimbe,PG,-5.5502,150.1429,75.92,94,99,3.09,overcast clouds
574,Nahrin,AF,36.0649,69.1334,41.0,82,100,0.36,overcast clouds
575,San Cristobal,VE,7.7669,-72.225,77.18,39,80,6.71,broken clouds
576,Filadelfia,US,39.9523,-75.1638,35.71,90,100,6.91,mist
577,Tricase,IT,39.9304,18.3553,57.13,72,20,6.91,few clouds
578,Ambanja,MG,-13.6833,48.45,75.69,91,37,1.52,light rain
579,Port-Gentil,GA,-0.7193,8.7815,78.76,89,75,2.3,light rain
580,Anadyr,RU,64.75,177.4833,-26.9,68,0,11.18,clear sky
581,Sangar,RU,63.9242,127.4739,-34.92,100,70,2.1,broken clouds
582,Octeville,FR,49.6261,-1.6435,49.78,93,100,27.63,light rain
583,Yerbogachen,RU,61.2767,108.0108,-28.39,100,88,3.36,overcast clouds
584,West Bay,KY,19.3667,-81.4167,85.06,81,75,3.44,broken clouds
585,Port Shepstone,ZA,-30.7414,30.455,79.92,81,48,17.52,light rain
586,Evensk,RU,61.95,159.2333,-6.68,74,27,8.97,scattered clouds
587,Santa Maria,BR,-29.6842,-53.8069,74.5,69,75,5.75,broken clouds
588,Magsalangi,PH,12.1828,123.5666,76.39,86,100,10.29,overcast clouds
589,Bilibino,RU,68.0546,166.4372,-32.91,100,92,2.42,overcast clouds
590,The Pas,CA,53.8251,-101.2541,1.42,85,100,8.05,light snow
591,Ciudad Bolivar,VE,8.1222,-63.5497,89.51,41,97,10.58,overcast clouds
592,Huarmey,PE,-10.0681,-78.1522,77.5,68,26,10.22,scattered clouds
593,Loreto,MX,22.2667,-101.9667,55.63,50,91,9.35,overcast clouds
594,Bondo,CD,3.8146,23.6866,84.45,25,62,2.91,broken clouds
595,Manta,EC,-0.95,-80.7333,80.38,78,75,4.61,broken clouds
596,Yulara,AU,-25.2406,130.9889,75.04,27,0,5.75,clear sky
597,Arlit,NE,18.7369,7.3853,80.31,7,0,2.3,clear sky
598,Solnechnyy,RU,50.7214,136.6319,10.74,95,100,4.9,overcast clouds
599,Atyrau,KZ,47.1167,51.8833,30.22,86,75,20.13,mist
600,Copiapo,CL,-27.3667,-70.3333,71.29,34,7,10.54,clear sky
601,Chupa,RU,66.27,33.0549,17.89,92,100,11.16,overcast clouds
602,Amga,RU,60.8953,131.9608,-13.07,100,99,0.78,overcast clouds
603,Davila,PH,18.4726,120.5763,78.01,79,8,2.71,clear sky
604,Creston,US,41.0586,-94.3614,16.92,67,0,13.8,clear sky
605,Hobbs,US,32.7026,-103.136,49.35,41,0,8.05,clear sky
606,Praia,CV,14.9215,-23.5087,81.14,50,0,20.71,clear sky
607,Tigil,RU,57.8,158.6667,-9.76,98,100,2.68,overcast clouds
608,Salta,AR,-24.7859,-65.4117,66.79,70,75,6.91,broken clouds
609,Usogorsk,RU,63.4106,48.6872,14.49,97,97,4.83,overcast clouds
610,Manyana,BW,-23.4,21.7167,82.99,30,95,0.87,overcast clouds
611,Ubinskoye,RU,55.3068,79.6802,18.37,95,100,10.47,light snow
612,Megion,RU,61.0296,76.1136,-1.98,100,96,9.84,overcast clouds
613,Oshawa,CA,43.9001,-78.8496,12.81,65,100,8.05,overcast clouds
614,Todos Santos,MX,23.45,-110.2167,77.11,49,100,2.19,overcast clouds
615,Farafangana,MG,-22.8167,47.8333,76.78,87,5,4.59,clear sky
616,Kijang,KR,35.2442,129.2139,46.13,78,100,10.25,overcast clouds
617,Wasilla,US,61.5814,-149.4394,31.01,94,100,0.0,overcast clouds
618,Narovchat,RU,53.8765,43.6946,27.95,93,99,13.53,overcast clouds
619,Santa Marta,CO,11.2408,-74.199,95.34,74,20,6.91,few clouds
620,Mordovo,RU,52.0834,40.77,16.72,91,7,8.25,clear sky
621,Biltine,TD,14.5333,20.9167,83.89,10,84,11.16,broken clouds
622,Charagua,BO,-19.8,-63.2167,72.97,45,99,6.22,overcast clouds
623,Bosobolo,CD,4.1833,19.9,87.6,20,95,1.25,overcast clouds
624,Portland,US,45.5234,-122.6762,47.21,65,0,5.99,clear sky
625,Nyandoma,RU,61.669,40.1991,13.87,97,75,6.89,broken clouds
626,Axim,GH,4.8699,-2.2405,82.71,72,92,10.74,overcast clouds
627,Macas,EC,-2.3167,-78.1167,74.95,83,75,3.44,broken clouds
628,Bogale,MM,16.2833,95.4,66.31,68,11,6.49,few clouds
629,Calvinia,ZA,-31.4707,19.776,72.39,63,79,7.56,light rain
630,Adra,ES,36.7496,-3.0206,63.81,75,1,7.11,clear sky
631,Mersing,MY,2.4312,103.8405,80.51,83,64,3.44,broken clouds
632,Ilanskiy,RU,56.2358,96.065,-7.98,93,23,8.25,few clouds
633,Chake Chake,TZ,-5.2459,39.7666,78.58,79,100,9.71,overcast clouds
634,Pierre,US,44.3683,-100.351,7.72,72,100,16.11,overcast clouds
635,Baruun-Urt,MN,46.6806,113.2792,-15.47,98,91,2.93,overcast clouds
636,Fernie,CA,49.5,-115.0687,35.69,91,100,2.04,overcast clouds
637,Namibe,AO,-15.1961,12.1522,77.07,73,100,7.65,overcast clouds
638,Pilar,BR,-9.5972,-35.9567,89.53,44,7,16.24,clear sky
639,Yaan,NG,7.3833,8.5667,97.45,8,18,5.48,few clouds
640,Dukat,RU,62.55,155.55,-28.23,100,31,3.4,scattered clouds
641,Lunenburg,CA,44.3835,-64.3155,36.21,69,100,9.22,overcast clouds
642,Aracataca,CO,10.5918,-74.1898,95.09,49,9,7.11,clear sky
643,Sladkovo,RU,55.5284,70.3385,-5.15,100,89,6.82,overcast clouds
644,Barraute,CA,48.4335,-77.6328,-4.83,76,99,1.83,overcast clouds
645,Nueva Gerona,CU,21.8833,-82.8,81.0,65,81,6.98,broken clouds
646,Port Blair,IN,11.6667,92.75,77.04,78,40,3.44,mist
647,Soria,ES,41.6667,-2.6667,49.1,57,87,15.95,overcast clouds
648,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,35,0,11.25,clear sky
649,Moulins,FR,46.5,3.3333,57.6,63,41,12.82,scattered clouds
650,Finschhafen,PG,-6.6024,147.8681,78.62,82,83,5.77,broken clouds
651,Omsukchan,RU,62.5333,155.8,-29.6,100,40,3.58,scattered clouds
652,Nerchinskiy Zavod,RU,51.3088,119.61,-23.76,100,90,2.48,overcast clouds
653,Zhangye,CN,38.9342,100.4517,26.11,49,68,3.09,broken clouds
654,Kropotkin,RU,45.4375,40.5756,34.52,71,5,6.15,clear sky
655,Sobolevo,RU,54.4299,31.8996,25.63,86,90,13.4,overcast clouds
656,Torres,BR,-29.3353,-49.7269,75.43,80,28,6.29,scattered clouds
657,Bereda,ES,43.2686,-7.5406,50.58,100,100,10.07,overcast clouds
658,Haddonfield,US,39.8915,-75.0377,35.6,91,100,4.61,snow
659,Lata,PT,40.1629,-8.3327,55.04,95,100,8.32,light rain
660,Karratha,AU,-20.7377,116.8463,83.73,68,16,14.09,few clouds
661,Bracebridge,CA,45.0334,-79.3163,0.68,60,0,3.44,clear sky
662,Sambava,MG,-14.2667,50.1667,78.01,84,26,3.24,moderate rain
663,Muriti,TZ,-1.9833,32.9167,75.31,62,82,3.87,broken clouds
664,Sungaipenuh,ID,-2.0833,101.3833,64.06,95,96,1.59,overcast clouds
665,Gijon,ES,43.5357,-5.6615,61.0,61,100,11.99,overcast clouds
666,Pemangkat,ID,1.1667,108.9667,78.48,87,100,0.47,overcast clouds
667,Tuy Hoa,VN,13.0833,109.3,74.64,93,91,5.21,overcast clouds
668,Sarangani,PH,5.4033,125.4636,81.45,75,97,18.34,overcast clouds
669,Quzhou,CN,28.9594,118.8686,43.59,96,100,1.72,light rain
670,Vao,NC,-22.6667,167.4833,78.89,85,100,5.68,overcast clouds
671,Kailua,US,21.4022,-157.7394,73.38,80,20,12.66,few clouds
672,Burgos,ES,42.3394,-3.7079,50.41,53,75,23.02,broken clouds
673,Samoded,RU,63.6083,40.5111,7.25,95,28,4.83,scattered clouds
674,Devils Lake,US,48.1128,-98.8651,-0.42,80,100,17.27,overcast clouds
675,Yellowknife,CA,62.456,-114.3525,-21.59,75,100,4.61,overcast clouds
676,Nanortalik,GL,60.1432,-45.2371,29.1,81,100,11.61,overcast clouds
677,Punta Arenas,CL,-53.15,-70.9167,50.11,57,20,57.53,light rain
678,San Quintin,MX,30.4833,-115.95,73.15,19,46,0.69,scattered clouds
679,Hithadhoo,MV,-0.6,73.0833,82.29,76,94,12.41,overcast clouds
680,Castro,BR,-24.7911,-50.0119,80.26,51,11,5.28,few clouds
681,Port Hueneme,US,34.1478,-119.1951,78.42,21,0,10.36,clear sky
682,Touros,BR,-5.1989,-35.4608,88.7,61,12,12.55,few clouds
683,Agadez,NE,19.75,10.25,70.97,11,4,6.8,clear sky
684,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,100,9.22,overcast clouds
685,Rikitea,PF,-23.1203,-134.9692,78.67,70,18,11.63,few clouds
686,Busselton,AU,-33.65,115.3333,66.04,68,4,12.84,clear sky
687,Nioro,GM,13.35,-15.75,95.41,6,6,9.93,clear sky
688,Poum,NC,-20.2333,164.0167,81.48,76,100,14.47,overcast clouds
689,Paka,MY,4.6374,103.4368,76.98,100,63,1.14,broken clouds
690,Dikson,RU,73.5069,80.5464,-3.77,87,100,27.02,overcast clouds
691,Shepsi,RU,44.0361,39.1489,39.88,70,14,11.74,few clouds
692,Albany,US,42.6001,-73.9662,26.55,63,100,3.0,overcast clouds
693,Talnakh,RU,69.4865,88.3972,-7.47,69,12,9.13,few clouds
694,Bubaque,GW,11.2833,-15.8333,80.62,51,4,13.0,clear sky
695,Ushuaia,AR,-54.8,-68.3,47.86,71,75,47.18,heavy intensity drizzle
696,Barentu,ER,15.1139,37.5928,75.16,33,77,12.06,broken clouds
697,Hilo,US,19.7297,-155.09,67.24,82,40,7.0,scattered clouds
