,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Sitka,US,57.0531,-135.33,35.49,80,100,3.44,overcast clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,68.02,72,0,11.99,clear sky
82,Taksimo,RU,56.3444,114.8794,-25.31,92,22,1.79,few clouds
83,Jalu,LY,29.0331,21.5482,59.81,39,72,7.4,broken clouds
84,Dakar,SN,14.6937,-17.4441,92.28,39,20,16.11,few clouds
85,Maceio,BR,-9.6658,-35.7353,90.84,55,40,16.11,scattered clouds
86,Meulaboh,ID,4.1363,96.1285,76.95,88,70,3.4,broken clouds
87,Wloszczowa,PL,50.8526,19.9659,38.17,64,42,7.85,scattered clouds
88,Mataura,NZ,-46.1927,168.8643,43.48,99,30,2.75,scattered clouds
89,Lebu,CL,-37.6167,-73.65,66.78,66,95,10.04,overcast clouds
90,Krasnyy Chikoy,RU,50.3643,108.7512,-26.59,100,45,1.74,scattered clouds
91,Qasigiannguit,GL,68.8193,-51.1922,19.65,87,100,5.46,overcast clouds
92,Coihaique,CL,-45.5752,-72.0662,80.55,29,0,6.91,clear sky
93,Qaanaaq,GL,77.484,-69.3632,-7.24,92,100,3.18,overcast clouds
94,Washington,US,47.5001,-120.5015,38.44,82,27,3.36,scattered clouds
95,Haines Junction,CA,60.7522,-137.5108,4.95,85,100,2.3,overcast clouds
96,Lima,PE,-12.0432,-77.0282,76.14,65,0,5.75,clear sky
97,Andrews,US,32.3187,-102.5457,47.64,34,0,4.61,clear sky
98,Ayan,RU,56.45,138.1667,-9.15,84,6,6.6,clear sky
99,Jumla,NP,29.2747,82.1838,30.99,83,8,6.42,clear sky
100,Kemijarvi,FI,66.7131,27.4306,22.87,94,100,11.1,light snow
101,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,20,3.44,few clouds
102,Aasiaat,GL,68.7098,-52.8699,7.32,95,100,13.53,overcast clouds
103,Bilma,NE,18.6853,12.9164,74.12,10,0,4.7,clear sky
104,Beringovskiy,RU,63.05,179.3167,-27.49,98,14,6.46,few clouds
105,Kahului,US,20.8947,-156.47,70.84,90,40,4.61,moderate rain
106,Codrington,AU,-38.2667,141.9667,60.03,95,69,4.74,broken clouds
107,Buraydah,SA,26.326,43.975,59.45,23,0,7.05,clear sky
108,Victoria,HK,22.2855,114.1577,60.33,88,100,8.99,light rain
109,Labuhan,ID,-6.8844,112.2051,78.08,85,99,0.98,overcast clouds
110,Berlevag,NO,70.8578,29.0864,20.32,78,100,12.08,overcast clouds
111,Severo-Kurilsk,RU,50.6789,156.125,23.09,70,37,10.18,scattered clouds
112,Cape Town,ZA,-33.9258,18.4232,75.11,67,20,28.77,few clouds
113,Svetlogorsk,BY,52.6333,29.7333,28.27,77,41,9.73,scattered clouds
114,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,4.61,broken clouds
115,Guerrero Negro,MX,27.9769,-114.0611,71.82,32,82,2.91,broken clouds
116,Belaya Gora,RU,68.5333,146.4167,-14.42,94,95,6.08,overcast clouds
117,Banda Aceh,ID,5.5577,95.3222,78.69,80,49,6.85,scattered clouds
118,Petrozavodsk,RU,61.7849,34.3469,31.48,86,100,6.71,snow
119,Tilichiki,RU,60.4667,166.1,-18.87,92,21,9.64,few clouds
120,Mantsala,FI,60.6609,25.2838,34.12,97,100,11.39,light snow
121,Butaritari,KI,3.0707,172.7902,82.44,72,96,13.02,overcast clouds
122,Olafsvik,IS,64.8945,-23.7142,27.01,70,79,4.43,broken clouds
123,Ulaangom,MN,49.9811,92.0667,-26.64,97,92,2.35,overcast clouds
124,Lock Haven,US,41.137,-77.4469,30.69,48,80,5.17,broken clouds
125,Senneterre,CA,48.3835,-77.2328,-10.98,75,97,2.26,overcast clouds
126,Mahebourg,MU,-20.4081,57.7,81.25,89,40,8.05,scattered clouds
127,Kaitangata,NZ,-46.2817,169.8464,49.93,85,29,3.58,scattered clouds
128,Northam,GB,51.0333,-4.2167,51.91,96,100,17.31,overcast clouds
129,Faanui,PF,-16.4833,-151.75,81.07,73,100,14.32,overcast clouds
130,Chokurdakh,RU,70.6333,147.9167,-2.4,97,100,10.96,overcast clouds
131,Thinadhoo,MV,0.5333,72.9333,82.33,75,76,10.8,broken clouds
132,Flagstaff,US,35.1981,-111.6513,48.42,23,0,0.0,clear sky
133,Hermanus,ZA,-34.4187,19.2345,78.91,76,4,14.9,clear sky
134,Sorland,NO,67.667,12.6934,30.27,58,100,27.02,light snow
135,Avarua,CK,-21.2078,-159.775,73.45,100,20,2.3,few clouds
136,Chaoyang,CN,41.5703,120.4586,12.2,92,100,8.95,overcast clouds
137,Carnarvon,AU,-24.8667,113.6333,80.67,83,20,9.22,few clouds
138,Narsaq,GL,60.9167,-46.05,26.82,93,100,11.95,light snow
