City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Port Alfred,ZA,73.04,overcast clouds,-33.5906,26.891,The Halyards Hotel
117,Kingaroy,AU,62.64,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
118,Masvingo,ZW,68.95,clear sky,-20.0637,30.8277,River Side Lodge
119,Byron Bay,AU,68.88,broken clouds,-28.65,153.6167,Backpackers Inn
120,Bandarbeyla,SO,75.83,broken clouds,9.4942,50.8122,JABIR HOTEL
121,Alcaniz,ES,52.09,overcast clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
122,Lagoa,PT,56.66,broken clouds,39.05,-27.9833,Casa Das Faias
124,Palivere,EE,35.67,overcast clouds,58.9664,23.8911,Roska kodu
125,Chuy,UY,73.81,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
126,Nagapattinam,IN,76.37,scattered clouds,10.7667,79.8333,Sathya Lodge
127,Mangan,IN,50.79,clear sky,27.5167,88.5333,Hotel Mout View
128,Mareeba,AU,72.32,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
130,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Kontagora,NG,88.11,scattered clouds,10.3999,5.4695,Queens Guest Inn
132,Torbay,CA,45.37,overcast clouds,47.6666,-52.7314,Gallows Cove
134,Victoria,HK,60.94,light rain,22.2855,114.1577,Mini Hotel Central
136,Matamoros,MX,53.71,broken clouds,25.5333,-103.25,Quinta Belem
137,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
140,Along,IN,45.48,clear sky,28.1667,94.7667,Hotel West
143,Sitka,US,35.49,overcast clouds,57.0531,-135.33,Westmark Sitka
144,Sibolga,ID,75.52,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
146,Half Moon Bay,US,70.92,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
147,Christchurch,NZ,52.92,overcast clouds,-43.5333,172.6333,The George
148,Lata,PT,54.07,overcast clouds,40.1629,-8.3327,Casa Maquia
149,Te Horo,NZ,56.88,moderate rain,-40.8084,175.1233,Cottage 103
150,Glendive,US,46.69,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
151,Uvinza,TZ,67.05,light rain,-5.1036,30.3911,Crown Lodge and lounge
152,Steinbach,DE,46.99,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
153,Diu,IN,67.69,clear sky,20.7141,70.9822,Hotel Relax Inn
155,Iquitos,PE,84.24,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
156,Ruteng,ID,61.65,overcast clouds,-8.6136,120.4721,Hotel FX 72
157,Abu Dhabi,AE,66.22,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
162,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
163,Hilo,US,71.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
164,Ayr,GB,42.78,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
167,Kirkkonummi,FI,36.18,light snow,60.1238,24.4385,Karhukolo
169,Dali,CN,41.05,clear sky,25.7,100.1833,Dali Travelling With Hostel
170,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
172,Wad Rawah,SD,79.05,broken clouds,15.1603,33.1397,ود الترابي
173,Mocuba,MZ,73.6,light rain,-16.8392,36.9856,Phama Lodge
174,Shakawe,BW,70.43,light rain,-18.3667,21.85,Ditlhapi Guest House
175,Sao Felix Do Xingu,BR,77.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
176,Faanui,PF,81.09,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Vaitape,PF,81.1,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
